City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,17.76,90,100,15.17,SJ,1712884839
1,port mathurin,-19.6833,63.4167,80.13,76,67,10.67,MU,1712884839
2,grytviken,-54.2811,-36.5092,28.36,67,2,10.36,GS,1712884839
3,iqaluit,63.7506,-68.5145,22.73,79,75,12.66,CA,1712884839
4,west island,-12.1568,96.8225,82.38,78,40,8.05,CC,1712884839
5,santa cruz,-17.8,-63.1667,74.66,83,75,5.75,BO,1712884840
6,mindelo,16.8901,-24.9804,71.15,68,20,13.8,CV,1712884840
7,saipan,15.1355,145.701,88.5,62,40,17.27,MP,1712884840
8,tura,25.5198,90.2201,80.33,37,0,2.46,IN,1712884840
9,thompson,55.7435,-97.8558,33.96,75,100,6.91,CA,1712884840
10,papatowai,-46.5619,169.4708,47.73,71,100,4.76,NZ,1712884841
11,vilyuchinsk,52.9306,158.4028,44.87,92,18,5.64,RU,1712884841
12,barra de santo antonio,-9.4047,-35.5072,79.88,81,4,6.29,BR,1712884841
13,albany,42.6001,-73.9662,59.59,79,100,7.0,US,1712884653
14,stanley,54.868,-1.6985,55.71,86,75,11.5,GB,1712884841
15,hawaiian paradise park,19.5933,-154.9731,72.91,95,100,6.91,US,1712884841
16,boa vista,2.8197,-60.6733,89.58,51,0,8.05,BR,1712884842
17,port-aux-francais,-49.35,70.2167,42.44,85,100,7.7,TF,1712884842
18,puerto ayora,-0.7393,-90.3518,78.55,97,98,7.0,EC,1712884842
19,invercargill,-46.4,168.35,49.01,82,100,5.01,NZ,1712884842
20,hanceville,34.0607,-86.7675,55.65,96,63,8.1,US,1712884842
21,gurupi,-11.7292,-49.0686,75.58,79,75,5.32,BR,1712884843
22,kalkaman,51.9525,76.0211,30.56,88,100,4.88,KZ,1712884843
23,waitangi,-43.9535,-176.5597,64.81,91,100,11.01,NZ,1712884843
24,yarmouth,41.7057,-70.2286,57.67,95,100,9.22,US,1712884843
25,adamstown,-25.066,-130.1015,70.95,54,10,12.19,PN,1712884843
26,whitehorse,60.7161,-135.0538,45.37,28,75,17.27,CA,1712884844
27,hithadhoo,-0.6,73.0833,83.5,73,87,4.16,MV,1712884844
28,urengoy,65.9667,78.3667,-2.06,87,100,18.21,RU,1712884844
29,kzyltu,53.6364,72.3414,30.07,87,30,2.01,KZ,1712884844
30,qaqortoq,60.7167,-46.0333,18.18,89,14,4.85,GL,1712884844
